Fecha de reporte ,Sexo,Grupo de Edad,Nacionalidad,Fecha de desaparicion,Entidad de desaparicion,Municipio/Alcadia de la desaparicion,Estatus,Fecha de localizacion,Entidad de la localizacion
19/11/2019,HOMBRE,30-34 AÑOS,S/D,S/D,S/D,S/D,DESAPARECIDO(A),,
19/11/2019,MUJER,35-39 AÑOS,S/D,S/D,S/D,S/D,DESAPARECIDO(A),,
19/11/2019,HOMBRE,25-29 AÑOS,MEXICANA,23/02/2017,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
19/11/2019,HOMBRE,35-39 AÑOS,MEXICANA,17/09/2017,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
19/11/2019,MUJER,30-34 AÑOS,MEXICANA,10/11/2019,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),08/04/2021,S/D
19/11/2019,HOMBRE,70 AÑOS O MAS,EXTRANJERA,27/05/2019,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
16/11/2019,HOMBRE,20-24 AÑOS,MEXICANA,15/11/2019,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),16/11/2019,S/D
15/11/2019,MUJER,35-39 AÑOS,MEXICANA,14/11/2019,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),15/11/2019,ESTADO DE MEXICO
14/11/2019,MUJER,20-24 AÑOS,MEXICANA,31/10/2019,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),01/11/2021,JALISCO
14/11/2019,HOMBRE,25-29 AÑOS,MEXICANA,07/11/2019,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),09/11/2019,QUERETARO
14/11/2019,MUJER,30-34 AÑOS,MEXICANA,07/11/2019,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),12/11/2019,S/D
14/11/2019,HOMBRE,55-59 AÑOS,MEXICANA,01/01/2019,ESTADO DE MEXICO,CHIMALHUACAN,DESAPARECIDO(A),,
14/11/2019,HOMBRE,60-64 AÑOS,MEXICANA,31/10/2019,CIUDAD DE MEXICO,MIGUEL HIDALGO,DESAPARECIDO(A),,
14/11/2019,HOMBRE,55-59 AÑOS,MEXICANA,09/11/2019,CIUDAD DE MEXICO,MIGUEL HIDALGO,DESAPARECIDO(A),,
14/11/2019,MUJER,15-17 AÑOS,S/D,11/11/2019,S/D,S/D,LOCALIZADO(A),11/11/2019,S/D
14/11/2019,MUJER,15-17 AÑOS,MEXICANA,08/11/2019,CIUDAD DE MEXICO,AZCAPOTZALCO,LOCALIZADO(A),14/11/2019,S/D
14/11/2019,MUJER,45-49 AÑOS,S/D,07/11/2019,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),S/D,S/D
14/11/2019,MUJER,35-39 AÑOS,MEXICANA,25/01/2017,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
14/11/2019,MUJER,35-39 AÑOS,S/D,01/07/2019,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
14/11/2019,HOMBRE,20-24 AÑOS,MEXICANA,27/05/2017,ESTADO DE MEXICO,TECAMAC,DESAPARECIDO(A),,
14/11/2019,MUJER,30-34 AÑOS,S/D,S/D,S/D,S/D,DESAPARECIDO(A),,
14/11/2019,MUJER,45-49 AÑOS,MEXICANA,31/10/2019,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),21/11/2019,S/D
14/11/2019,HOMBRE,30-34 AÑOS,EXTRANJERA,10/11/2019,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
13/11/2019,HOMBRE,00-04 AÑOS,MEXICANA,20/01/2019,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
12/11/2019,HOMBRE,30-34 AÑOS,MEXICANA,11/04/2018,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
