Fecha de reporte ,Sexo,Grupo de Edad,Nacionalidad,Fecha de desaparicion,Entidad de desaparicion,Municipio/Alcadia de la desaparicion,Estatus,Fecha de localizacion,Entidad de la localizacion
30/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,24/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),01/07/2023,CIUDAD DE MEXICO
30/06/2023,MUJER,40-44 AÑOS,EXTRANJERA,23/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
30/06/2023,MUJER,51-54 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
29/06/2023,MUJER,15-17 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),30/06/2023,CIUDAD DE MEXICO
29/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
28/06/2023,HOMBRE,65-69 AÑOS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),28/06/2023,CIUDAD DE MEXICO
29/06/2023,MUJER,10-14 AÑOS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),04/07/2023,CIUDAD DE MEXICO
28/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,26/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),10/07/2023,S/D
28/06/2023,MUJER,20-24 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),28/06/2023,CIUDAD DE MEXICO
27/06/2023,MUJER,18-19 AÑOS,MEXICANA,09/03/2012,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
27/06/2023,MUJER,20-24 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
25/06/2023,MUJER,20-24 AÑOS,MEXICANA,11/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
24/06/2023,MUJER,15-17 AÑOS,MEXICANA,23/06/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),26/06/2023,CIUDAD DE MEXICO
24/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,19/06/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
24/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,22/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
23/06/2023,HOMBRE,65-69 AÑOS,MEXICANA,14/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
23/06/2023,MUJER,15-17 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),05/07/2023,HIDALGO
23/06/2023,MUJER,15-17 AÑOS,MEXICANA,21/04/2023,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
23/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,21/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
22/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,10/05/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
22/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
21/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,18/06/2023,CIUDAD DE MEXICO,IZTACALCO,LOCALIZADO(A),23/06/2023,CIUDAD DE MEXICO
21/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,20/06/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
27/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,17/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),08/07/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,18/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,06/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
19/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),14/07/2023,CIUDAD DE MEXICO
19/06/2023,MUJER,25-29 AÑOS,MEXICANA,29/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),20/06/2023,ESTADO DE MEXICO
21/06/2023,MUJER,15-17 AÑOS,MEXICANA,20/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,45-49 AÑOS,MEXICANA,15/03/2023,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
18/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,16/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,DESAPARECIDO(A),,
18/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,17/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),19/06/2023,CIUDAD DE MEXICO
18/06/2023,HOMBRE,15-17 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
17/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/06/2023,CIUDAD DE MEXICO
17/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,16/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),18/06/2023,ESTADO DE MEXICO
16/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,13/06/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),18/06/2023,S/D
16/06/2023,HOMBRE,55-59 AÑOS,MEXICANA,17/12/2022,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
16/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,11/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
16/06/2023,MUJER,45-49 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),23/06/2023,CIUDAD DE MEXICO
16/06/2023,HOMBRE,45-49 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
16/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),17/06/2023,CIUDAD DE MEXICO
15/06/2023,HOMBRE,70 AÑOS O MAS,EXTRANJERA,13/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
15/06/2023,MUJER,18-19 AÑOS,MEXICANA,01/08/2012,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
15/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,13/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),17/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
14/06/2023,MUJER,15-17 AÑOS,MEXICANA,09/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,LOCALIZADO(A),18/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,10-14 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/06/2023,GUERRERO
14/06/2023,HOMBRE,18-19 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),14/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),08/07/2023,CIUDAD DE MEXICO
14/06/2023,MUJER,15-17 AÑOS,MEXICANA,01/04/2022,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
13/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,07/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),13/06/2023,CIUDAD DE MEXICO
13/06/2023,MUJER,10-14 AÑOS,MEXICANA,01/06/2023,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
13/06/2023,MUJER,35-39 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/06/2023,CIUDAD DE MEXICO
12/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,01/11/ 021,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
12/06/2023,MUJER,30-34 AÑOS,MEXICANA,11/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),11/06/2023,CIUDAD DE MEXICO
12/06/2023,MUJER,18-19 AÑOS,MEXICANA,09/06/2023,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
09/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,02/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),18/06/2023,S/D
08/06/2023,HOMBRE,15-17 AÑOS,MEXICANA,06/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),10/06/2023,CIUDAD DE MEXICO
09/06/2023,MUJER,30-34 AÑOS,MEXICANA,18/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
08/06/2023,MUJER,20-24 AÑOS,MEXICANA,07/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
08/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,04/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),11/06/2023,CIUDAD DE MEXICO
07/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,24/05/2023,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
06/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,04/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),07/06/23,QUERETARO
06/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,20/04/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),11/06/2023,CIUDAD DE MEXICO
06/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,21/05/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
05/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,25/03/2015,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
05/06/2023,MUJER,10-14 AÑOS,MEXICANA,01/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),09/06/2023,CIUDAD DE MEXICO
03/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,02/06/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),06/06/2023,CIUDAD DE MEXICO
01/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,01/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,DESAPARECIDO(A),,
01/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,21/05/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
31/05/2023,MUJER,65-69 AÑOS,MEXICANA,30/05/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),02/06/2023,CIUDAD DE MEXICO
30/05/2023,MUJER,15-17 AÑOS,MEXICANA,30/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),02/06/2023,CIUDAD DE MEXICO
30/05/2023,MUJER,30-34 AÑOS,MEXICANA,26/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),15/06/2023,MICHOACAN
30/05/2023,MUJER,10-14 AÑOS,MEXICANA,29/05/2023,CIUDAD DE MEXICO,MILPA ALTA,LOCALIZADO(A),30/05/2023,CIUDAD DE MEXICO
30/05/2023,HOMBRE,25-29 AÑOS,MEXICANA,14/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
30/05/2023,HOMBRE,10-14 AÑOS,MEXICANA,11/05/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),05/06/2023,CIUDAD DE MEXICO
30/05/2023,HOMBRE,10-14 AÑOS,MEXICANA,31/05/2023,CIUDAD DE MEXICO,IZTACALCO,LOCALIZADO(A),01/06/2023,CIUDAD DE MEXICO
29/05/2023,MUJER,10-14 AÑOS,MEXICANA,28/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),30/05/2023,CIUDAD DE MEXICO
13/06/2023,MUJER,15-17 AÑOS,MEXICANA,22/05/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),03/07/2023,ESTADO DE MEXICO
26/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,24/05/2023,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),05/06/2023,CIUDAD DE MEXICO
26/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,22/04/2023,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
26/05/2023,MUJER,15-17 AÑOS,MEXICANA,17/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
26/05/2023,MUJER,10-14 AÑOS,MEXICANA,24/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),27/05/2023,CIUDAD DE MEXICO
26/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
25/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,23/04/2023,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
25/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
25/05/2023,MUJER,15-17 AÑOS,MEXICANA,21/05/2023,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,DESAPARECIDO(A),,
25/05/2023,MUJER,15-17 AÑOS,MEXICANA,21/05/2023,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,DESAPARECIDO(A),,
24/05/2023,MUJER,10-14 AÑOS,MEXICANA,23/05/2023,CIUDAD DE MEXICO,IZTACALCO,LOCALIZADO(A),24/05/2023,CIUDAD DE MEXICO
25/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,06/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
23/05/2023,HOMBRE,51-54 AÑOS,MEXICANA,20/04/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
23/05/2023,HOMBRE,35-39 AÑOS,MEXICANA,25/04/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
23/05/2023,HOMBRE,25-29 AÑOS,MEXICANA,26/04/2018,CIUDAD DE MEXICO,TLALPAN,DESAPARECIDO(A),,
23/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,19/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),29/05/2023,CIUDAD DE MEXICO
23/05/2023,MUJER,25-29 AÑOS,MEXICANA,17/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
22/05/2023,MUJER,20-24 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,DESAPARECIDO(A),,
22/05/2023,MUJER,15-17 AÑOS,MEXICANA,22/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),28/05/2023,CIUDAD DE MEXICO
27/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,15/03/2016,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
21/05/2023,HOMBRE,51-54 AÑOS,MEXICANA,20/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
20/05/2023,MUJER,10-14 AÑOS,MEXICANA,19/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),21/05/2023,CIUDAD DE MEXICO
20/05/2023,MUJER,15-17 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),22/05/2023,CIUDAD DE MEXICO
19/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,14/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
18/05/2023,MUJER,40-44 AÑOS,MEXICANA,05/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
18/05/2023,HOMBRE,20-24 AÑOS,MEXICANA,09/09/2020,CIUDAD DE MEXICO,TLALPAN,DESAPARECIDO(A),,
17/05/2023,MUJER,15-17 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),19/05/2023,PUEBLA
18/05/2023,MUJER,15-17 AÑOS,MEXICANA,18/05/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),19/05/2023,CIUDAD DE MEXICO
16/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,15/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
16/05/2023,MUJER,15-17 AÑOS,MEXICANA,14/05/2023,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),18/05/2023,CIUDAD DE MEXICO
15/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),17/05/2023,CIUDAD DE MEXICO
15/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,06/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),16/05/2023,CIUDAD DE MEXICO
15/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,13/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),13/05/2023,S/D
15/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,10/12/2022,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
14/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),14/05/2023,CIUDAD DE MEXICO
13/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
13/05/2023,MUJER,00-04 AÑOS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),15/05/2023,CIUDAD DE MEXICO
13/05/2023,MUJER,18-19 AÑOS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),15/05/2023,CIUDAD DE MEXICO
13/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),14/05/2023,CIUDAD DE MEXICO
12/05/2023,HOMBRE,15-17 AÑOS,EXTRANJERA,05/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
12/05/2023,HOMBRE,15-17 AÑOS,EXTRANJERA,05/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
12/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,12/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),12/05/2023,CIUDAD DE MEXICO
12/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,03/05/2023,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
12/05/2023,HOMBRE,45-49 AÑOS,MEXICANA,30/04/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),19/07/2023,CIUDAD DE MEXICO
11/05/2023,HOMBRE,25-29 AÑOS,S/D,05/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),12/05/2023,CIUDAD DE MEXICO
11/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,02/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
11/05/2023,MUJER,18-19 AÑOS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,DESAPARECIDO(A),,
10/05/2023,MUJER,10-14 AÑOS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,MILPA ALTA,DESAPARECIDO(A),,
10/05/2023,MUJER,10-14 AÑOS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,MILPA ALTA,LOCALIZADO(A),11/05/2023,ESTADO DE MEXICO
10/05/2023,HOMBRE,55-59 AÑOS,MEXICANA,12/03/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
09/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,07/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),20/05/2023,QUINTANA ROO
09/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,05/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),15/05/2023,ESTADO DE MEXICO
09/05/2023,MUJER,45-49 AÑOS,MEXICANA,02/01/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),25/05/2023,CIUDAD DE MEXICO
09/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,09/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),09/07/2023,CIUDAD DE MEXICO
09/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,30/04/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),07/05/2023,CIUDAD DE MEXICO
09/05/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,18/10/2022,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
08/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,18/08/2020,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
07/05/2023,HOMBRE,20-24 AÑOS,MEXICANA,06/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),08/05/2023,CIUDAD DE MEXICO
06/05/2023,HOMBRE,65-69 AÑOS,MEXICANA,03/05/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),07/05/2023,S/D
06/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,03/05/2023,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
05/05/2023,HOMBRE,60-64 AÑOS,MEXICANA,25/04/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
05/05/2023,HOMBRE,51-54 AÑOS,MEXICANA,10/04/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,DESAPARECIDO(A),,
05/05/2023,MUJER,15-17 AÑOS,MEXICANA,05/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),05/05/2023,CIUDAD DE MEXICO
05/05/2023,HOMBRE,25-29 AÑOS,MEXICANA,24/07/2022,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
05/05/2023,HOMBRE,35-39 AÑOS,MEXICANA,05/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),05/05/2023,CIUDAD DE MEXICO
05/05/2023,HOMBRE,35-39 AÑOS,MEXICANA,10/03/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
05/05/2023,HOMBRE,18-19 AÑOS,MEXICANA,01/05/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),24/07/2023,JALISCO
05/05/2023,MUJER,10-14 AÑOS,MEXICANA,04/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
04/05/2023,MUJER,15-17 AÑOS,MEXICANA,04/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),05/05/2023,CIUDAD DE MEXICO
04/05/2023,HOMBRE,20-24 AÑOS,MEXICANA,03/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),18/05/2023,CIUDAD DE MEXICO
04/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,29/03/2023,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
04/05/2023,MUJER,20-24 AÑOS,MEXICANA,30/04/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),09/05/2023,CIUDAD DE MEXICO
04/05/2023,MUJER,18-19 AÑOS,MEXICANA,03/05/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),04/05/2023,CIUDAD DE MEXICO
03/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,30/04/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),08/05/2023,CIUDAD DE MEXICO
03/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,20/03/2023,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
03/05/2023,HOMBRE,20-24 AÑOS,MEXICANA,18/04/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),04/05/2023,CIUDAD DE MEXICO
03/05/2023,HOMBRE,30-34 AÑOS,MEXICANA,23/04/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),07/05/2023,QUINTANA ROO
03/05/2023,MUJER,25-29 AÑOS,MEXICANA,01/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),03/05/2023,CIUDAD DE MEXICO
02/05/2023,HOMBRE,15-17 AÑOS,MEXICANA,25/09/2021,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
03/05/2023,MUJER,25-29 AÑOS,MEXICANA,06/01/2008,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
02/05/2023,MUJER,15-17 AÑOS,MEXICANA,13/04/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),17/05/2023,CIUDAD DE MEXICO
02/05/2023,HOMBRE,40-44 AÑOS,MEXICANA,23/04/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
02/05/2023,MUJER,30-34 AÑOS,MEXICANA,30/04/2023,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),16/05/2023,S/D
